Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Season
5,Richard Bachman,29,VAN,5,5,2,3,0,13,162,149,0.92,2.64,0,1.1,295,2,0.4,0,,,0,0,0,0,2016
17,Byron Dafoe,22,WSH,5,,2,2,0,13,101,88,0.871,3.39,0,0.3,230,,,,,,0,0,0,0,1993
8,Craig Billington,36,WSH,5,,1,3,1,17,96,79,0.823,4.7,0,-0.4,217,,,,,,0,0,0,0,2002
94,Matthew Yeats,24,WSH,5,,1,3,0,13,141,128,0.908,3.03,0,0.8,258,,,,,,0,0,0,2,2003
59,Michal Neuvirth,20,WSH,5,3,2,1,0,11,102,91,0.892,3,0,0.4,220,1,0.333,1,,,0,0,0,0,2008
15,Frederic Cassivi,26,ATL,6,,2,3,0,17,207,190,0.918,3.32,0,1.5,307,,,,,,0,0,0,0,2001
35,Andy Moog,27,BOS,6,,4,2,0,17,181,164,0.906,2.84,1,1.3,359,,,,,,0,0,0,0,1987
8,Al Millar,28,BOS,6,,1,4,1,25,183,158,0.863,4.17,0,0.1,360,,,,,,0,0,0,0,1957
63,Darcy Wakaluk,22,BUF,6,,1,3,0,15,90,75,0.833,4.2,0,0.2,214,,,,,,0,0,0,0,1988
7,Martin Biron,21,BUF,6,,1,2,1,10,120,110,0.917,2.14,0,0.8,281,,,,,,0,0,0,0,1998
9,Gerry Desjardins,27,CBH,6,,1,2,3,21,183,162,0.885,3.51,0,0.7,359,,,,,,0,0,0,0,1971
51,Gilles Villemure,36,CBH,6,,0,4,1,28,178,150,0.843,5.41,0,-0.1,310,,,,,,0,0,0,0,1976
4,Denis DeJordy,25,CBH,6,,2,3,1,19,204,185,0.907,3.35,0,0.6,340,,,,,,0,0,0,0,1963
5,Tim Bernhardt,25,CGY,6,,0,5,0,21,147,126,0.857,4.5,0,0.5,280,,,,,,0,0,0,0,1982
60,Andrei Trefilov,25,CGY,6,,0,3,0,16,130,114,0.877,4.07,0,0.4,236,,,,,,0,0,0,0,1994
41,Tyler Moss,22,CGY,6,,2,3,1,20,186,166,0.892,3.27,0,0.8,367,,,,,,0,0,0,0,1997
40,Leland Irving,24,CGY,6,5,2,1,1,15,128,113,0.883,3.33,0,0.3,270,1,0.2,2,,,0,1,1,0,2012
66,Joni Ortio,23,CGY,6,6,4,2,0,14,153,139,0.908,2.52,1,0.8,333,3,0.5,2,,,0,0,0,0,2014
65,Andrei Trefilov,28,CHI,6,,1,4,0,17,145,128,0.883,3.41,0,0.5,299,,,,,,0,0,0,0,1997
2,Craig Anderson,21,CHI,6,,0,3,2,18,125,107,0.856,4,0,0,270,,,,,,0,0,0,0,2002
50,Michel Plasse,31,CLR,6,,0,3,2,26,162,136,0.84,4.77,0,0.3,327,,,,,,0,0,0,0,1979
59,Mike Torchia,22,DAL,6,,3,2,1,18,172,154,0.895,3.3,0,0.9,327,,,,,,0,0,0,0,1994
70,Roman Turek,26,DAL,6,,3,1,0,9,129,120,0.93,2.06,0,1,263,,,,,,0,0,0,0,1996
54,Sam St. Laurent,27,DET,6,,1,2,2,16,135,119,0.881,2.81,0,0.8,342,,,,,,0,0,0,0,1986
54,Sam St. Laurent,28,DET,6,,2,2,0,16,148,132,0.892,3.27,0,0.9,293,,,,,,0,0,0,2,1987
33,Kevin Hodson,24,DET,6,,2,2,1,8,114,106,0.93,1.63,1,0.9,294,,,,,,0,1,1,0,1996
13,Don Cutts,26,EDM,6,,1,2,1,16,142,126,0.887,3.57,0,0.7,269,,,,,,0,0,0,6,1979
41,Bill Ranford,21,EDM,6,,3,0,2,16,159,143,0.899,2.95,0,1.1,325,,,,,,0,2,2,0,1987
43,Daryl Reaugh,22,EDM,6,,1,1,0,14,114,100,0.877,4.79,0,0.6,175,,,,,,0,0,0,0,1987
52,Steve Passmore,26,EDM,6,,1,4,1,17,183,166,0.907,2.82,0,1.1,362,,,,,,0,1,1,2,1998
4,Richard Bachman,27,EDM,6,4,3,2,0,15,168,153,0.911,2.84,1,0.9,317,3,0.75,1,,,0,0,0,0,2014
26,Doug Keans,25,LAK,6,,0,2,2,24,138,114,0.826,4.73,0,0.5,304,,,,,,0,1,1,0,1982
35,Mario Lessard,29,LAK,6,,0,4,1,26,158,132,0.835,5.88,0,0.4,265,,,,,,0,0,0,0,1983
46,Darcy Kuemper,22,MIN,6,3,1,2,0,10,119,109,0.916,2.08,0,0.8,288,2,0.667,0,,,0,0,0,0,2012
17,Paul Harrison,20,MNS,6,,0,4,1,28,171,143,0.836,5.48,0,-0.1,307,,,,,,0,0,0,2,1975
41,Jarmo Myllys,23,MNS,6,,1,4,0,22,138,116,0.841,5.55,0,0.3,238,,,,,,0,0,0,0,1988
9,Ken Dryden,23,MTL,6,,6,0,0,9,211,202,0.957,1.65,0,1.6,327,,,,,,0,0,0,0,1970
40,Les Kuntar,24,MTL,6,,2,2,0,16,130,114,0.877,3.18,0,0.5,302,,,,,,0,0,0,2,1993
21,Yann Danis,24,MTL,6,,3,2,0,14,152,138,0.908,2.69,1,1,312,,,,,,0,0,0,0,2005
31,Jaroslav Halak,22,MTL,6,4,2,1,1,10,151,141,0.934,2.11,1,1.4,285,2,0.5,0,,,0,0,0,0,2007
84,Dustin Tokarski,26,MTL,6,4,1,3,0,12,98,86,0.878,3.18,0,0.1,226,1,0.25,2,,,0,0,0,0,2015
7,Bob Perreault,25,MTL,6,,3,3,0,12,174,162,0.931,2.00,1,1.3,360,,,,,,0,0,0,0,1955
34,Shawn MacKenzie,20,NJD,6,,0,1,0,15,68,53,0.779,6.92,0,-0.1,130,,,,,,0,0,0,0,1982
23,Jean-Francois Damphousse,22,NJD,6,,1,3,0,12,115,103,0.896,2.45,0,0.5,294,,,,,,0,0,0,0,2001
17,Scott Clemmensen,29,NJD,6,,1,1,2,16,144,128,0.889,3.14,0,0.6,305,,,,,,0,0,0,0,2006
49,Tommy Salo,23,NYI,6,,1,5,0,18,189,171,0.905,3.02,0,1.1,358,,,,,,0,1,1,0,1994
15,Marcel Cousineau,25,NYI,6,,0,4,0,14,119,105,0.882,2.87,0,0.4,293,,,,,,0,0,0,0,1998
78,Steve Valiquette,22,NYI,6,,2,0,0,6,117,111,0.949,1.87,0,1.3,193,,,,,,0,0,0,0,1999
67,Kevin Poulin,21,NYI,6,6,2,4,0,15,162,147,0.907,3.04,0,0.9,296,2,0.333,1,,,0,1,1,0,2011
28,Peter McDuffe,25,NYR,6,,3,2,1,18,187,169,0.904,3.18,0,0.9,340,,,,,,0,0,0,0,1973
45,Doug Soetaert,22,NYR,6,,2,2,2,20,201,181,0.9,3.34,0,0.9,360,,,,,,0,0,0,0,1977
1,Steve Baker,24,NYR,6,,1,5,0,33,161,128,0.795,6.03,0,0.1,328,,,,,,0,0,0,0,1981
79,Steve Valiquette,32,NYR,6,5,2,3,0,19,128,109,0.852,3.74,1,-0.1,305,2,0.4,2,,,0,0,0,0,2009
7,Martin Biron,35,NYR,6,5,2,2,1,13,156,143,0.917,2.32,0,1,336,2,0.4,1,,,0,0,0,0,2012
13,Cesare Maniago,28,NYR,6,,0,1,1,14,103,89,0.864,3.84,0,0.3,219,,,,,,0,0,0,0,1966
36,Andrew Hammond,28,OTT,6,4,0,2,0,14,86,72,0.837,4.08,0,-0.3,206,1,0.25,3,,,0,0,0,0,2016
36,Bobby Taylor,27,PHI,6,,1,2,2,16,193,177,0.917,3,0,0.9,320,,,,,,0,0,0,0,1971
20,Gary Inness,27,PHI,6,,1,0,2,9,89,80,0.899,2.57,0,0.8,210,,,,,,0,1,1,0,1976
63,Wendell Young,24,PHI,6,,3,2,0,20,149,129,0.866,3.76,0,0.6,319,,,,,,0,0,0,0,1987
51,David LeNeveu,23,PHX,6,,2,1,0,15,142,127,0.894,3.86,0,0.7,233,,,,,,0,0,0,0,2006
23,Gord Laxton,21,PIT,6,,1,3,1,26,158,132,0.835,6.17,0,-0.4,253,,,,,,0,0,0,0,1976
57,Ron Tugnutt,20,QUE,6,,2,3,0,16,123,107,0.87,3.41,0,0.6,281,,,,,,0,1,1,0,1987
6,Mario Brunetta,23,QUE,6,,1,2,0,13,99,86,0.869,4.08,0,0.4,191,,,,,,0,0,0,0,1989
15,Stephane Fiset,19,QUE,6,,0,5,1,34,199,165,0.829,5.97,0,0.3,342,,,,,,0,0,0,0,1989
66,John Tanner,19,QUE,6,,1,3,1,16,133,117,0.88,4.21,0,0.7,228,,,,,,0,0,0,2,1990
29,Thomas Greiss,27,SJS,6,5,1,4,0,13,153,140,0.915,2.53,1,1,308,3,0.6,1,,,0,0,0,0,2012
16,Gilles Gratton,23,STL,6,,2,0,2,11,139,128,0.921,2.49,0,1.1,265,,,,,,0,0,0,2,1975
38,Brent Johnson,21,STL,6,,3,2,0,10,127,117,0.921,2.1,0,0.9,286,,,,,,0,0,0,0,1998
5,Tom Barrasso,37,STL,6,,1,4,0,16,132,116,0.879,3.27,1,0.3,293,,,,,,0,0,0,0,2002
5,Ben Bishop,22,STL,6,3,1,1,1,12,112,100,0.893,2.94,0,0.5,245,1,0.333,0,,,0,0,0,0,2008
48,Daren Puppa,31,TBL,6,,1,1,2,14,150,136,0.907,2.59,0,0.8,325,,,,,,0,0,0,2,1996
52,Joey MacDonald,29,TOR,6,5,1,4,0,17,157,140,0.892,3.2,0,0.6,319,2,0.4,1,,,0,0,0,0,2009
26,Jhonas Enroth,28,TOR,6,4,0,3,1,18,141,123,0.872,3.94,0,0.2,274,0,0,0,,,0,0,0,0,2016
6,Gilles Mayer,25,TOR,6,,1,5,0,18,142,124,0.873,3.00,0,0.6,360,,,,,,0,0,0,0,1955
48,Bobby Taylor,31,TOT,6,,3,2,0,22,173,151,0.873,4.16,0,0.5,318,,,,,,0,0,0,2,1975
22,Patrick DesRochers,23,TOT,6,,1,4,0,18,159,141,0.887,3.62,0,0.6,297,,,,,,0,0,0,0,2002
43,Bob Mason,29,VAN,6,,2,4,0,29,188,159,0.846,4.92,0,0.4,353,,,,,,0,0,0,0,1990
24,Mike Fountain,25,VAN,6,,2,2,0,14,135,121,0.896,3.43,1,0.6,245,,,,,,0,0,0,0,1996
64,Corey Schwab,29,VAN,6,,2,1,1,16,115,99,0.861,3.57,0,0.2,269,,,,,,0,0,0,2,1999
11,Martin Brochu,28,VAN,6,,0,3,0,15,104,89,0.856,4.16,0,0,216,,,,,,0,0,0,0,2001
4,Alex Auld,23,VAN,6,,2,2,2,12,168,156,0.929,2.06,0,1.4,349,,,,,,0,0,0,0,2003
5,Marc Behrend,23,WIN,6,,2,4,0,32,184,152,0.826,5.5,0,0.4,349,,,,,,0,0,0,0,1983
12,Tom Draper,23,WIN,6,,2,4,0,26,153,127,0.83,4.34,0,0.2,359,,,,,,0,0,0,0,1989
49,Dave Parro,25,WSH,6,,1,3,1,19,126,107,0.849,4.38,0,0.5,260,,,,,,0,0,0,0,1982
68,Maxime Ouellet,22,WSH,6,,2,3,1,19,210,191,0.91,3.12,1,1.3,365,,,,,,0,1,1,0,2003
81,Rastislav Stana,24,WSH,6,,1,2,0,11,100,89,0.89,3.12,0,0.4,211,,,,,,0,0,0,0,2003
86,Semyon Varlamov,20,WSH,6,5,4,0,1,13,159,146,0.918,2.37,0,1.1,329,4,0.8,1,,,0,0,0,2,2008
18,Louis Domingue,22,ARI,7,4,1,2,1,14,158,144,0.911,2.73,0,0.9,308,3,0.75,0,,,0,0,0,0,2014
19,Scott Fankhouser,25,ATL,7,,2,1,0,16,160,144,0.9,3.44,0,0.9,260,,,,,,0,0,0,2,2000
64,Ondrej Pavelec,20,ATL,7,5,3,3,0,18,190,172,0.905,3.11,0,1.1,347,2,0.4,0,,,0,0,0,2,2007
3,Gerry Cheevers,25,BOS,7,,0,4,1,34,195,161,0.826,6.00,0,-0.7,340,,,,,,0,0,0,0,1965
16,Rocky Farr,27,BUF,7,,0,1,2,14,113,99,0.876,3.93,0,0.4,213,,,,,,0,0,0,0,1974
41,Al Smith,31,BUF,7,,0,3,0,19,116,97,0.836,4.33,0,0.3,264,,,,,,0,0,0,0,1976
8,Jacques Cloutier,22,BUF,7,,5,1,0,13,155,142,0.916,2.52,0,1.4,310,,,,,,0,0,0,0,1981
47,Daren Puppa,20,BUF,7,,3,4,0,21,184,163,0.886,3.15,1,1.1,399,,,,,,0,0,0,0,1985
44,Patrick Lalime,36,BUF,7,4,0,5,0,18,163,145,0.89,2.96,0,0.5,365,0,0,1,,,0,1,1,0,2010
55,Nathan Lieuwen,22,BUF,7,5,1,4,0,18,191,173,0.906,2.97,0,1,363,2,0.4,0,,,0,0,0,0,2013
66,Justin Peters,25,CAR,7,6,2,3,2,16,233,217,0.931,2.48,1,1.9,387,5,0.833,0,,,0,0,0,0,2011
22,Jack Norris,25,CBH,7,,2,3,0,22,168,146,0.869,3.95,1,0.2,334,,,,,,0,0,0,0,1967
35,Bob Sneddon,26,CGS,7,,0,2,0,21,127,106,0.835,5.63,0,-0.3,224,,,,,,0,0,0,0,1970
26,Jean-Sebastien Giguere,22,CGY,7,,1,3,1,15,175,160,0.914,2.72,0,1.3,330,,,,,,0,0,0,2,1999
39,Leland Irving,23,CGY,7,7,1,3,3,21,239,218,0.912,3.19,0,1.4,394,5,0.714,1,,,0,0,0,0,2011
21,Jeff Hackett,26,CHI,7,,1,3,2,13,150,137,0.913,2.38,0,1,328,,,,,,0,0,0,0,1994
62,Adam Munro,21,CHI,7,,1,5,1,26,217,191,0.88,3.66,0,0.5,426,,,,,,0,0,0,2,2003
12,Doug Favell,33,CLR,7,,0,5,2,34,185,151,0.816,5.38,0,0.1,380,,,,,,0,1,1,17,1978
17,Gerry Gray,23,DET,7,,1,4,1,30,229,199,0.869,4.74,0,0.1,380,,,,,,0,0,0,0,1970
20,Doug Grant,26,DET,7,,1,5,0,34,199,165,0.829,5.37,0,0,380,,,,,,0,0,0,0,1974
42,Eddie Mio,31,DET,7,,1,3,2,27,172,145,0.843,4.32,0,0.5,375,,,,,,0,0,0,2,1984
58,Greg Stefan,28,DET,7,,1,5,0,24,147,123,0.837,4.02,0,0.3,359,,,,,,0,1,1,4,1989
31,Jonas Gustavsson,28,DET,7,4,2,2,1,17,140,123,0.879,2.92,0,0.3,349,2,0.5,1,,,0,1,1,2,2012
32,Jonas Gustavsson,30,DET,7,6,3,3,1,15,168,153,0.911,2.56,1,0.9,351,3,0.5,2,,,0,0,0,2,2014
15,Jared Coreau,26,DET,7,7,0,5,1,27,203,176,0.867,4.26,0,0.1,380,1,0.143,2,,,0,0,0,0,2017
45,Andy Moog,20,EDM,7,,3,3,0,20,170,150,0.882,3.82,0,0.8,314,,,,,,0,1,1,0,1980
11,Fred Brathwaite,23,EDM,7,,0,2,0,12,140,128,0.914,2.45,0,1,293,,,,,,0,0,0,2,1995
50,Jason LaBarbera,34,EDM,7,4,1,3,0,19,146,127,0.87,3.27,0,0.1,348,0,0,3,,,0,0,0,0,2013
34,Jonas Gustavsson,32,EDM,7,5,1,3,1,17,139,122,0.878,3.1,0,0.2,329,2,0.4,3,,,0,0,0,0,2016
54,Jacob Markstrom,22,FLA,7,6,2,4,1,17,222,205,0.923,2.66,0,1.6,383,3,0.5,0,,,0,0,0,0,2011
7,Reto Berra,30,FLA,7,4,0,5,0,18,145,127,0.876,3.45,0,0.2,313,0,0,2,,,0,0,0,0,2016
24,Mario Gosselin,30,HAR,7,,0,4,0,21,107,86,0.804,5.27,0,-0.3,239,,,,,,0,0,0,0,1993
51,Jim Rutherford,32,LAK,7,,3,3,0,43,207,164,0.792,6.79,0,-0.2,380,,,,,,0,0,0,0,1981
25,Bob Janecyk,29,LAK,7,,4,3,0,34,222,188,0.847,4.87,0,0.6,419,,,,,,0,0,0,2,1986
22,Stephane Fiset,30,LAK,7,,3,0,1,19,129,110,0.853,3.58,0,0.1,318,,,,,,0,0,0,2,2000
1,Tom Askey,23,MDA,7,,0,1,2,12,113,101,0.894,2.64,0,0.5,273,,,,,,0,0,0,0,1997
35,Josh Harding,22,MIN,7,,3,2,1,7,174,167,0.96,1.16,1,2.1,361,,,,,,0,0,0,0,2006
26,Pete LoPresti,24,MNS,7,,2,4,0,28,157,129,0.822,4.88,0,0.3,344,,,,,,0,0,0,0,1978
3,Ken Broderick,27,MNS,7,,2,4,0,26,217,191,0.880,4.33,0,0.1,360,,,,,,0,0,0,0,1969
1,Garry Bauman,28,MNS,7,,0,3,1,22,165,143,0.867,4.41,0,0.1,300,,,,,,0,0,0,0,1968
61,Ron Tugnutt,27,MTL,7,,1,3,1,18,172,154,0.895,3.12,0,0.9,346,,,,,,0,0,0,0,1994
57,Chris Terreri,22,NJD,7,,0,3,1,21,172,151,0.878,4.42,0,0.9,285,,,,,,0,0,0,0,1986
19,Tom Draper,27,NYI,7,,1,3,0,16,118,102,0.864,4.23,0,0.3,227,,,,,,0,0,0,0,1993
25,Wade Dubielewicz,27,NYI,7,,2,3,0,15,145,130,0.897,2.9,0,0.8,310,,,,,,0,0,0,0,2005
8,Jean-Francois Berube,24,NYI,7,6,3,2,1,18,210,192,0.914,2.71,0,1.2,399,4,0.667,1,,,0,0,0,0,2015
69,Steve Weeks,34,OTT,7,,0,5,0,30,144,114,0.792,7.22,0,-0.3,249,,,,,,0,0,0,0,1992
41,Bobby Taylor,29,PHI,7,,3,3,0,26,203,177,0.872,4.26,0,0.4,366,,,,,,0,0,0,12,1973
46,Rick St. Croix,23,PHI,7,,2,4,1,20,165,145,0.879,3.05,0,1.2,394,,,,,,0,0,0,0,1977
27,Bruce Hoffort,23,PHI,7,,3,0,2,19,159,140,0.881,3.47,0,0.8,329,,,,,,0,0,0,2,1989
87,Anthony Stolarz,23,PHI,7,4,2,1,1,13,181,168,0.928,2.07,1,1.4,376,2,0.5,1,,,0,0,0,0,2016
65,Michal Neuvirth,30,PHI,7,6,1,4,1,26,184,158,0.859,4.27,0,0.1,366,1,0.167,4,,,0,0,0,0,2018
63,Rich Parent,28,PIT,7,,1,1,3,17,150,133,0.887,3.08,0,0.6,332,,,,,,0,0,0,0,2000
25,Brian Hayward,31,SJS,7,,1,4,0,25,177,152,0.859,4.92,0,0.5,305,,,,,,0,0,0,14,1991
23,Wade Flaherty,29,SJS,7,,2,4,0,31,202,171,0.847,5.18,0,-0.1,359,,,,,,0,0,0,0,1996
78,Nolan Schaefer,26,SJS,7,,5,1,0,11,138,127,0.92,1.88,1,1.1,352,,,,,,0,0,0,2,2005
7,Ben Bishop,24,STL,7,5,3,4,0,17,168,151,0.899,2.77,1,0.7,369,2,0.4,3,,,0,0,0,0,2010
10,Martin Brodeur,42,STL,7,5,3,3,0,17,169,152,0.899,2.87,1,0.7,356,2,0.4,2,,,0,0,0,0,2014
39,Kevin Hodson,30,TBL,7,,0,3,1,12,101,89,0.881,2.55,0,0.3,283,,,,,,0,0,0,2,2002
65,Justin Pogge,22,TOR,7,6,1,4,1,27,173,146,0.844,4.36,0,-0.2,372,1,0.167,3,,,0,0,0,0,2008
32,Al Smith,23,TOR,7,,1,2,1,16,173,157,0.908,2.90,0,0.9,331,,,,,,0,0,0,7,1968
6,Cesare Maniago,22,TOR,7,,4,2,1,17,236,219,0.928,2.43,0,1.5,419,,,,,,0,0,0,2,1960
54,Robb Stauber,27,TOT,7,,2,3,0,22,156,134,0.859,3.97,0,0.2,333,,,,,,0,0,0,0,1994
42,Jason Muzzatti,27,TOT,7,,0,3,2,19,169,150,0.888,3.36,0,0.7,340,,,,,,0,0,0,10,1997
10,Frank Caprice,23,VAN,7,,0,3,2,28,155,127,0.819,5.46,0,0.2,308,,,,,,0,1,1,0,1985
4,Alex Auld,22,VAN,7,,3,3,0,10,165,155,0.939,1.57,1,1.6,382,,,,,,0,0,0,0,2002
39,Steve Penney,25,WIN,7,,1,4,1,25,133,108,0.812,4.6,0,0,326,,,,,,0,0,0,7,1986
59,Al Montoya,27,WPG,7,5,3,1,0,17,168,151,0.899,2.9,1,0.8,351,2,0.4,2,,,0,0,0,0,2012
2,Michel Belhumeur,26,WSH,7,,0,5,1,32,229,197,0.86,5.11,0,0.1,376,,,,,,0,1,1,0,1975
39,Olaf Kolzig,23,WSH,7,,0,3,0,20,128,108,0.844,5.37,0,0.1,224,,,,,,0,0,0,0,1993
16,Sebastien Charpentier,26,WSH,7,,0,6,0,21,168,147,0.875,3.41,0,0.3,369,,,,,,0,0,0,0,2003
36,Braden Holtby,22,WSH,7,6,4,2,1,15,192,177,0.922,2.5,1,1.4,361,3,0.5,1,,,0,0,0,0,2011
12,Ilya Bryzgalov,34,ANA,8,6,1,4,1,23,150,127,0.847,4.19,0,-0.3,329,2,0.333,3,,,0,2,2,0,2014
4,Yves Belanger,27,BOS,8,,2,0,3,19,132,113,0.856,3.48,0,0.9,328,,,,,,0,0,0,0,1979
13,Cleon Daskalakis,22,BOS,8,,1,2,1,24,141,117,0.83,4.97,0,0.3,290,,,,,,0,0,0,0,1984
38,Reggie Lemelin,37,BOS,8,,5,1,0,23,210,187,0.89,3.39,0,1.2,407,,,,,,0,1,1,2,1991
1,Scott Bailey,24,BOS,8,,1,5,0,24,181,157,0.867,3.66,0,0.3,394,,,,,,0,0,0,0,1996
63,Zane McIntyre,24,BOS,8,3,0,4,1,22,155,133,0.858,3.97,0,-0.1,333,0,0,1,,,0,0,0,0,2016
33,Matt Hackett,23,BUF,8,8,1,6,1,22,239,217,0.908,3.1,0,1.3,426,4,0.5,1,,,0,0,0,0,2013
18,Scott Darling,30,CAR,8,8,2,4,2,27,233,206,0.884,3.34,0,0.7,486,2,0.25,3,,,0,0,0,0,2018
29,Bob Janecyk,26,CBH,8,,2,3,1,28,237,209,0.882,4.1,0,1.4,410,,,,,,0,0,0,2,1983
62,Fredrik Norrena,35,CBJ,8,5,1,3,2,17,133,116,0.872,3.16,0,0.3,323,1,0.2,1,,,0,0,0,0,2008
56,Michael Leighton,21,CHI,8,,2,3,2,21,241,220,0.913,2.82,1,1.6,447,,,,,,0,0,0,0,2002
49,Vitali Kolesnik,26,COL,8,,3,3,0,20,178,158,0.888,3.24,0,0.8,370,,,,,,0,1,1,2,2005
1,Hank Bassen,34,DET,8,,2,4,0,22,215,193,0.898,3.44,0,0.8,384,,,,,,0,0,0,0,1966
41,Andy Moog,21,EDM,8,,3,5,0,32,201,169,0.841,4.82,0,0.7,398,,,,,,0,1,1,2,1981
12,Laurent Brossoit,23,EDM,8,4,4,1,0,11,153,142,0.928,1.99,0,1.2,332,2,0.5,0,,,0,0,0,0,2016
22,Dan Ellis,34,FLA,8,8,4,3,1,19,221,202,0.914,2.34,1,1.3,486,4,0.5,0,,,0,0,0,0,2014
26,Jean-Sebastien Giguere,19,HAR,8,,1,4,0,24,201,177,0.881,3.65,0,0.6,394,,,,,,0,0,0,0,1996
31,Mathieu Garon,25,MTL,8,,3,5,0,16,267,251,0.94,1.99,2,2.6,482,,,,,,0,0,0,0,2002
15,Gump Worsley,34,MTL,8,,3,2,2,22,202,180,0.891,2.98,1,1.0,444,,,,,,0,0,0,0,1963
58,Chris Terreri,24,NJD,8,,0,4,2,18,170,152,0.894,2.69,0,1.1,402,,,,,,0,0,0,2,1988
22,Wade Dubielewicz,28,NYI,8,,4,1,0,13,198,185,0.934,2.06,0,1.8,379,,,,,,0,0,0,0,2006
19,Rick DiPietro,28,NYI,8,6,2,5,0,20,201,181,0.9,2.6,1,1,462,3,0.5,0,,,0,1,1,2,2009
19,Rick DiPietro,30,NYI,8,6,3,2,3,22,177,155,0.876,3.73,0,0.3,354,1,0.167,2,,,0,2,2,0,2011
31,Christopher Gibson,25,NYI,8,8,2,3,2,26,284,258,0.908,3.65,0,1.5,427,5,0.625,3,,,0,0,0,0,2017
45,Doug Soetaert,20,NYR,8,,2,2,0,24,167,143,0.856,5.29,0,0,272,,,,,,0,1,1,0,1975
61,Doug Soetaert,24,NYR,8,,5,2,0,33,214,181,0.846,4.57,0,0.5,434,,,,,,0,0,0,0,1979
27,Terry Sawchuk,40,NYR,8,,3,1,2,20,187,167,0.893,2.91,1,1.1,412,,,,,,0,1,1,0,1969
7,Jack McCartan,25,NYR,8,,1,6,1,35,240,205,0.854,4.77,1,-0.1,440,,,,,,0,0,0,0,1960
47,Robin Lehner,19,OTT,8,5,1,4,0,20,178,158,0.888,3.52,0,0.5,341,1,0.2,2,,,0,0,0,2,2010
30,Pelle Lindbergh,22,PHI,8,,2,4,2,35,290,255,0.879,4.39,0,1.1,478,,,,,,0,0,0,0,1981
33,Pelle Lindbergh,26,PHI,8,,6,2,0,23,200,177,0.885,2.88,1,1.2,478,,,,,,0,0,0,0,1985
26,Ron Hextall,25,PHI,8,,4,2,1,29,219,190,0.868,4.15,0,0.9,419,,,,,,0,0,0,14,1989
16,Robert Esche,22,PHX,8,,2,5,0,23,215,192,0.893,3.38,0,1,408,,,,,,0,0,0,4,1999
22,Gord Laxton,20,PIT,8,,3,4,0,31,202,171,0.847,4.51,0,0.5,413,,,,,,0,0,0,0,1975
17,Brian Ford,23,PIT,8,,2,6,0,48,297,249,0.838,6.32,0,0.8,456,,,,,,0,0,0,0,1984
17,Andy Chiodo,20,PIT,8,,3,4,1,28,260,232,0.892,3.46,0,1,486,,,,,,0,0,0,0,2003
47,Michel Plasse,33,QUE,8,,2,3,1,35,195,160,0.821,5.43,0,0.4,386,,,,,,0,1,1,0,1981
34,Pat Jablonski,23,STL,8,,2,3,3,25,228,203,0.89,3.05,0,1.3,492,,,,,,0,1,1,0,1990
76,Curtis Sanford,23,STL,8,,5,1,0,13,148,135,0.912,1.96,1,1,397,,,,,,0,0,0,0,2002
72,Derek Wilkinson,23,TBL,8,,2,4,1,17,148,131,0.885,3.28,0,0.5,311,,,,,,0,0,0,0,1997
39,Olaf Kolzig,38,TBL,8,8,2,4,1,25,245,220,0.898,3.66,0,1.2,410,3,0.375,2,,,0,0,0,0,2008
11,Peter Budaj,35,TBL,8,7,3,3,1,27,217,190,0.876,3.76,0,0.3,430,2,0.286,1,,,0,0,0,0,2017
68,Mika Noronen,26,TOT,8,,2,3,0,22,154,132,0.857,3.9,0,0.2,339,,,,,,0,0,0,2,2005
53,Eddie Lack,30,TOT,8,5,2,4,0,23,177,154,0.87,4.02,0,0.2,343,1,0.2,2,,,0,0,0,0,2017
63,Wendell Young,23,VAN,8,,1,6,1,35,222,187,0.842,5.02,0,0.6,419,,,,,,0,1,1,0,1986
75,Cory Schneider,22,VAN,8,5,2,4,1,20,162,142,0.877,3.38,0,0.4,355,1,0.2,1,,,0,0,0,0,2008
38,Steve Penney,26,WIN,8,,2,4,1,30,186,156,0.839,4.68,0,0.4,384,,,,,,0,0,0,0,1987
72,Ondrej Pavelec,29,WPG,8,8,4,4,0,26,233,207,0.888,3.55,0,0.7,440,2,0.25,2,,,0,0,0,0,2016
1,John Adams,28,WSH,8,,0,7,0,46,275,229,0.833,6.9,0,-0.9,400,,,,,,0,0,0,2,1974
13,Don Simmons,30,TOR,9,,5,3,1,21,287,266,0.927,2.33,1,2,540,,,,78,6,0,0,0,0,1961
44,Anton Khudobin,29,ANA,9,7,3,3,0,16,175,159,0.909,2.69,1,0.9,356,3,0.429,3,,,0,0,0,0,2015
63,Pasi Nurminen,26,ATL,9,,2,5,0,28,275,247,0.898,3.78,0,1.4,465,,,,,,0,0,0,0,2001
7,Adam Berkhoel,24,ATL,9,,2,4,1,30,255,225,0.882,3.8,0,1,473,,,,,,0,0,0,0,2005
3,Marco Baron,23,BOS,9,,6,3,0,33,232,199,0.858,3.85,0,1.4,514,,,,,,0,0,0,4,1982
11,Gerry Desjardins,30,BUF,9,,6,2,1,25,264,239,0.905,2.79,0,1.9,538,,,,,,0,0,0,0,1974
