Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Season
22,Mark Fitzpatrick,31,CAR,3,,0,2,0,8,68,60,0.882,4.48,0,0.3,107,,,,,,0,0,0,0,1999
51,Michael Leighton,26,CAR,3,3,1,1,0,7,68,61,0.897,2.66,0,0.3,158,1,0.333,0,,,0,0,0,0,2007
13,Michel Dumas,25,CBH,3,,2,0,0,7,42,35,0.833,3.47,0,0.3,121,,,,,,0,0,0,0,1974
50,Mike Veisor,24,CBH,3,,1,2,0,13,115,102,0.887,4.33,0,0.2,180,,,,,,0,0,0,0,1976
24,Jack Norris,26,CBH,3,,1,0,0,10,64,54,0.844,6.00,0,-0.2,100,,,,,,0,0,0,0,1968
51,Jean-Francois Labbe,29,CBJ,3,,1,1,0,6,68,62,0.912,3.07,0,0.5,117,,,,,,0,0,0,0,2001
18,Wade Dubielewicz,30,CBJ,3,2,1,2,0,10,77,67,0.87,3.56,0,0.1,169,0,0,0,,,0,0,0,0,2008
42,Dan LaCosta,22,CBJ,3,2,2,0,0,4,80,76,0.95,1.54,1,0.8,156,2,1,0,,,0,0,0,0,2008
27,Tyrone Garner,20,CGY,3,,0,2,0,12,74,62,0.838,5.18,0,-0.1,139,,,,,,0,0,0,0,1998
51,Warren Skorodenski,26,CHI,3,,1,0,1,7,90,83,0.922,2.71,0,0.8,155,,,,,,0,0,0,0,1986
48,Greg Millen,33,CHI,3,,0,1,0,4,32,28,0.875,4.13,0,0.1,58,,,,,,0,0,0,0,1990
50,Michel Larocque,24,CHI,3,,0,2,0,9,59,50,0.847,3.55,0,0,152,,,,,,0,0,0,0,2000
60,Antti Niemi,25,CHI,3,2,1,1,1,8,59,51,0.864,3.4,0,0.1,141,1,0.5,1,,,0,0,0,0,2008
59,Spencer Martin,21,COL,3,3,0,2,1,13,96,83,0.865,4.35,0,0,179,0,0,1,,,0,0,0,0,2016
11,Matt Climie,25,DAL,3,3,2,1,0,9,85,76,0.894,2.92,0,0.4,185,1,0.333,1,,,0,0,0,0,2008
31,Claude Legris,24,DET,3,,0,1,0,4,34,30,0.882,3.79,0,0.2,63,,,,,,0,0,0,0,1980
27,Ken Holland,28,DET,3,,0,1,1,10,51,41,0.804,4.12,0,0,146,,,,,,0,0,0,0,1983
13,Darren Eliot,26,DET,3,,0,0,1,9,56,47,0.839,5.52,0,0.1,98,,,,,,0,0,0,2,1987
12,Alain Chevrier,29,DET,3,,0,2,0,11,55,44,0.8,6.14,0,-0.1,108,,,,,,0,0,0,0,1990
